Accession,Organism,Strain,Isolation_Source,Host,Country,Collection_Year
OR421129.1,Influenza A virus,A/mallard duck/Tennessee/TN22-291/2022,Combined cloacal and oral-pharyngeal,Anas platyrhynchos,,2022
OR421121.1,Influenza A virus,A/American wigeon/Tennessee/TN22-298/2022,Combined cloacal and oral-pharyngeal,Mareca americana,,2022
OR421067.1,Influenza A virus,A/gadwall duck/Tennessee/TN22-297/2022,Combined cloacal and oral-pharyngeal,Mareca strepera,,2022
OR421036.1,Influenza A virus,A/American wigeon/Tennessee/TN22-301/2022,Combined cloacal and oral-pharyngeal,Mareca americana,,2022
OQ789273.1,Influenza A virus,A/American wigeon/South Carolina/AH0195145/2021,pooled oropharyngeal/cloacal swab,American wigeon,,2021
OP377612.1,Influenza A virus,A/brown pelican/North Carolina/W22-164/2022,Oral-pharyngeal,Pelecanus occidentalis,,2022
PQ715607.1,Influenza A virus,A/Red-shouldered hawk/MN/22-013517-010-original/2022,Cloacal/Tracheal Swab Pool,Red-shouldered hawk,,2022
PQ714023.1,Influenza A virus,A/Mallard/TN/22-024871-019-original/2022,Virus Isolate,Mallard,,2022
PQ713959.1,Influenza A virus,A/Mallard/TN/22-024871-002-original/2022,Virus Isolate,Mallard,,2022
OQ967378.1,Influenza A virus,A/chicken/Kentucky/22-004416-001/2022,swab,chicken,,2022
OQ967162.1,Influenza A virus,A/chicken/Delaware/22-005260-001/2022,"Swab, Oropharyngeal",chicken,,2022
OQ967082.1,Influenza A virus,A/Wood Duck/North Carolina/22-003829-001/2022,"Swab Pool, Cloacal/Oropharyngeal",Wood Duck,,2022
OQ966146.1,Influenza A virus,A/Turkey/Missouri/22-007087-001/2022,swab,turkey,,2022
OQ965258.1,Influenza A virus,A/Turkey/Indiana/22-005289-001/2022,"Swab, Tracheal",turkey,,2022
OQ965250.1,Influenza A virus,A/Turkey/Indiana/22-004688-006/2022,"Swab, Tracheal",turkey,,2022
OQ964466.1,Influenza A virus,A/Snow Goose/North Dakota/22-010663-005/2022,"Swab Pool, Cloacal/Oropharyngeal",Snow Goose,,2022
OQ964018.1,Influenza A virus,A/Snow Goose/Kentucky/22-006742-003/2022,"Swab Pool, Cloacal/Oropharyngeal",Snow Goose,,2022
OQ963730.1,Influenza A virus,A/Royal Tern/Florida/22-010506-002/2022,"Swab Pool, Cloacal/Oropharyngeal",Royal Tern,,2022
OQ963690.1,Influenza A virus,A/Royal Tern/Florida/22-005590-001/2022,"Swab Pool, Cloacal/Tracheal",Royal Tern,,2022
OQ962810.1,Influenza A virus,A/Poultry/Kansas/22-007391-001/2022,swab,Poultry,,2022
OQ962458.1,Influenza A virus,A/Mallard/Ohio/22-009209-012/2022,"Swab Pool, Cloacal/Oropharyngeal",Mallard,,2022
OQ962450.1,Influenza A virus,A/Mallard/Ohio/22-009209-011/2022,"Swab Pool, Cloacal/Oropharyngeal",Mallard,,2022
OQ962418.1,Influenza A virus,A/Mallard/North Carolina/22-004008-011/2022,"Swab Pool, Cloacal/Oropharyngeal",Mallard,,2022
OQ962410.1,Influenza A virus,A/Mallard/North Carolina/22-004008-010/2022,"Swab Pool, Cloacal/Oropharyngeal",Mallard,,2022
OQ962378.1,Influenza A virus,A/Mallard/North Carolina/22-001330-003/2022,"Swab Pool, Cloacal/Oropharyngeal",Mallard,,2022
OQ961898.1,Influenza A virus,A/Hooded Merganser/Missouri/22-007184-001/2022,"Swab, Tracheal",Hooded Merganser,,2022
