job,model,score,bsa,desolv,elec,total,vdw
PP752859_pocket1__favipiravir,../05_flexref/flexref_5.pdb,-50.230,316.103,9.959,-47.479,-57.028,-9.549
PP752859_pocket2__favipiravir,../05_flexref/flexref_10.pdb,-46.134,316.070,4.825,-32.883,-47.798,-14.915
PP752859_pocket3__favipiravir,../05_flexref/flexref_2.pdb,-41.197,308.524,-0.738,-33.574,-37.374,-3.800
PP752859_pocket4__favipiravir,../05_flexref/flexref_1.pdb,-28.458,348.963,2.020,-13.436,-26.989,-13.553
PP752859_pocket5__favipiravir,../05_flexref/flexref_4.pdb,-41.231,292.867,5.630,-26.626,-43.932,-17.306
PP752859_pocket6__favipiravir,../05_flexref/flexref_1.pdb,-57.605,292.197,2.142,-42.500,-56.825,-14.325
PP752859_pocket7__favipiravir,../05_flexref/flexref_1.pdb,-42.269,390.415,6.766,-34.137,-45.131,-10.994
PP752859_pocket8__favipiravir,../05_flexref/flexref_7.pdb,-34.230,281.712,3.071,-27.777,-34.484,-6.707
PP752859_pocket9__favipiravir,../05_flexref/flexref_7.pdb,-45.558,284.258,6.302,-41.751,-49.017,-7.266
PP752859_pocket10__favipiravir,../05_flexref/flexref_9.pdb,-60.080,339.357,0.464,-43.683,-57.151,-13.468
PP752859_pocket11__favipiravir,../05_flexref/flexref_6.pdb,-39.516,295.352,4.267,-27.391,-40.830,-13.439
PP752859_pocket12__favipiravir,../05_flexref/flexref_3.pdb,-32.388,349.529,0.813,-8.113,-29.706,-21.593
PP752859_pocket13__favipiravir,../05_flexref/flexref_4.pdb,-34.606,398.981,3.355,-18.672,-33.971,-15.299
PP752859_pocket14__favipiravir,../05_flexref/flexref_9.pdb,-39.641,282.795,2.421,-26.540,-39.233,-12.693
PP752859_pocket15__favipiravir,../05_flexref/flexref_10.pdb,-27.360,305.290,-0.561,-10.481,-23.746,-13.265
PP752859_pocket16__favipiravir,../05_flexref/flexref_6.pdb,-32.718,254.110,1.540,-20.832,-31.717,-10.884
PP752859_pocket17__favipiravir,../05_flexref/flexref_7.pdb,-39.708,285.818,1.314,-29.416,-38.165,-8.748
PP577941_pocket1__favipiravir,../05_flexref/flexref_4.pdb,-47.257,302.243,-2.099,-32.038,-42.136,-10.097
PP577941_pocket2__favipiravir,../05_flexref/flexref_2.pdb,-26.267,373.819,0.293,-12.288,-22.822,-10.534
PP577941_pocket3__favipiravir,../05_flexref/flexref_10.pdb,-48.345,305.462,4.172,-30.480,-49.462,-18.981
PP577941_pocket4__favipiravir,../05_flexref/flexref_8.pdb,-44.654,351.646,4.570,-32.539,-45.708,-13.169
PP577941_pocket5__favipiravir,../05_flexref/flexref_4.pdb,-42.081,343.278,6.437,-32.172,-45.086,-12.913
PP577941_pocket6__favipiravir,../05_flexref/flexref_8.pdb,-38.201,394.077,7.165,-24.423,-41.425,-17.002
PP577941_pocket7__favipiravir,../05_flexref/flexref_1.pdb,-45.290,343.290,-4.710,-21.658,-37.147,-15.489
PP577941_pocket8__favipiravir,../05_flexref/flexref_9.pdb,-26.218,209.419,2.337,-20.947,-26.460,-5.513
PP577941_pocket9__favipiravir,../05_flexref/flexref_10.pdb,-51.048,329.247,3.868,-39.131,-51.623,-12.492
PP577941_pocket10__favipiravir,../05_flexref/flexref_4.pdb,-61.894,344.041,7.761,-53.711,-66.215,-12.503
PP577941_pocket11__favipiravir,../05_flexref/flexref_10.pdb,-52.798,350.843,2.426,-35.752,-51.716,-15.963
PP577941_pocket12__favipiravir,../05_flexref/flexref_2.pdb,-38.267,315.575,6.573,-23.957,-41.684,-17.728
PP577941_pocket13__favipiravir,../05_flexref/flexref_7.pdb,-52.408,336.786,3.275,-38.606,-52.316,-13.709
PP577941_pocket14__favipiravir,../05_flexref/flexref_10.pdb,-37.503,369.909,-0.908,-22.405,-32.896,-10.491
PP577941_pocket15__favipiravir,../05_flexref/flexref_3.pdb,-74.305,348.813,11.378,-73.565,-82.195,-8.630
PP577941_pocket16__favipiravir,../05_flexref/flexref_8.pdb,-44.922,265.967,2.220,-35.271,-44.483,-9.211
PP577941_pocket17__favipiravir,../05_flexref/flexref_8.pdb,-51.921,407.347,0.098,-29.735,-47.946,-18.212
PQ591827_pocket1__favipiravir,../05_flexref/flexref_9.pdb,-26.444,325.663,0.364,-11.844,-23.551,-11.707
PQ591827_pocket2__favipiravir,../05_flexref/flexref_10.pdb,-35.916,329.739,2.467,-21.948,-35.086,-13.138
PQ591827_pocket3__favipiravir,../05_flexref/flexref_10.pdb,-25.977,338.384,-3.794,-6.463,-18.799,-12.336
PQ591827_pocket4__favipiravir,../05_flexref/flexref_4.pdb,-44.755,349.991,5.017,-38.384,-46.273,-7.888
PQ591827_pocket5__favipiravir,../05_flexref/flexref_6.pdb,-58.790,351.963,-1.062,-42.487,-54.208,-11.722
PQ591827_pocket6__favipiravir,../05_flexref/flexref_1.pdb,-33.062,302.262,5.802,-22.410,-35.841,-13.431
PQ591827_pocket7__favipiravir,../05_flexref/flexref_10.pdb,-57.286,278.039,12.726,-56.659,-67.232,-10.573
PQ591827_pocket8__favipiravir,../05_flexref/flexref_3.pdb,-30.478,385.064,-4.506,-8.753,-22.121,-13.368
PQ591827_pocket9__favipiravir,../05_flexref/flexref_7.pdb,-30.503,264.895,0.265,-18.593,-28.119,-9.526
PQ591827_pocket10__favipiravir,../05_flexref/flexref_9.pdb,-49.329,394.591,1.775,-37.084,-47.158,-10.074
PQ809563_pocket1__favipiravir,../05_flexref/flexref_6.pdb,-56.776,344.627,10.407,-48.873,-63.737,-14.864
PQ809563_pocket2__favipiravir,../05_flexref/flexref_8.pdb,-51.971,352.337,3.645,-46.886,-52.092,-5.206
PQ809563_pocket3__favipiravir,../05_flexref/flexref_4.pdb,-40.926,386.841,7.442,-22.948,-44.500,-21.552
PQ809563_pocket4__favipiravir,../05_flexref/flexref_3.pdb,-43.708,394.214,1.771,-25.155,-41.537,-16.382
PQ809563_pocket5__favipiravir,../05_flexref/flexref_1.pdb,-44.809,368.025,1.379,-28.811,-42.508,-13.696
PQ809563_pocket6__favipiravir,../05_flexref/flexref_4.pdb,-35.047,393.926,4.526,-25.356,-35.634,-10.278
PQ809563_pocket7__favipiravir,../05_flexref/flexref_4.pdb,-28.470,154.766,4.584,-28.181,-31.507,-3.325
PQ809563_pocket8__favipiravir,../05_flexref/flexref_7.pdb,-40.656,413.471,-3.784,-9.581,-32.737,-23.156
PQ809563_pocket9__favipiravir,../05_flexref/flexref_3.pdb,-36.810,304.520,0.442,-23.247,-34.208,-10.961
PQ809563_pocket10__favipiravir,../05_flexref/flexref_1.pdb,-37.979,328.243,0.157,-18.044,-34.854,-16.810
PQ809563_pocket11__favipiravir,../05_flexref/flexref_9.pdb,-46.307,310.111,3.345,-31.281,-46.551,-15.270
PQ809563_pocket12__favipiravir,../05_flexref/flexref_7.pdb,-34.844,381.871,1.985,-22.056,-33.011,-10.954
PQ809563_pocket13__favipiravir,../05_flexref/flexref_3.pdb,-40.736,366.126,5.128,-23.980,-42.203,-18.223
PQ809563_pocket14__favipiravir,../05_flexref/flexref_6.pdb,-36.235,262.331,4.486,-33.178,-38.098,-4.920
PQ809563_pocket15__favipiravir,../05_flexref/flexref_1.pdb,-45.119,395.737,4.833,-34.781,-45.995,-11.214
OQ958058_pocket1__favipiravir,../05_flexref/flexref_3.pdb,-28.853,326.117,-0.896,-12.215,-24.696,-12.481
OQ958058_pocket2__favipiravir,../05_flexref/flexref_2.pdb,-40.437,301.344,0.535,-23.756,-37.958,-14.203
OQ958058_pocket3__favipiravir,../05_flexref/flexref_1.pdb,-59.716,341.706,7.049,-53.533,-63.348,-9.814
OQ958058_pocket4__favipiravir,../05_flexref/flexref_8.pdb,-50.813,358.437,3.529,-35.803,-50.758,-14.955
OQ958058_pocket5__favipiravir,../05_flexref/flexref_10.pdb,-44.291,283.809,6.418,-46.251,-47.871,-1.620
