job,model,score,bsa,desolv,elec,total,vdw
PP577947_pocket1__pimodivir,../05_flexref/flexref_4.pdb,-74.108,459.340,5.499,-44.843,-75.014,-30.171
PP577947_pocket2__pimodivir,../05_flexref/flexref_2.pdb,-60.377,632.457,-8.386,-11.945,-45.666,-33.720
PP577947_pocket3__pimodivir,../05_flexref/flexref_7.pdb,-72.223,512.885,-7.669,-41.937,-59.425,-17.488
PP577947_pocket4__pimodivir,../05_flexref/flexref_1.pdb,-66.631,682.759,1.309,-32.593,-61.113,-28.520
PP577947_pocket5__pimodivir,../05_flexref/flexref_3.pdb,-55.612,410.967,12.160,-56.085,-63.662,-7.577
PP577947_pocket6__pimodivir,../05_flexref/flexref_2.pdb,-60.255,512.618,-3.300,-27.452,-51.828,-24.376
PP577947_pocket7__pimodivir,../05_flexref/flexref_10.pdb,-46.318,409.442,4.465,-22.625,-46.688,-24.063
PP577947_pocket8__pimodivir,../05_flexref/flexref_9.pdb,-51.470,388.581,-9.505,-5.352,-38.080,-32.727
PP577947_pocket9__pimodivir,../05_flexref/flexref_1.pdb,-55.329,492.880,0.612,-29.792,-51.012,-21.221
PP577947_pocket10__pimodivir,../05_flexref/flexref_7.pdb,-61.094,471.550,-0.469,-32.446,-55.909,-23.463
PQ591825_pocket1__pimodivir,../05_flexref/flexref_5.pdb,-60.001,497.348,5.248,-28.399,-60.276,-31.876
PQ591825_pocket2__pimodivir,../05_flexref/flexref_9.pdb,-558.065,553.939,3.209,-669.409,-555.735,113.674
PQ591825_pocket3__pimodivir,../05_flexref/flexref_7.pdb,-73.654,563.548,-4.031,-33.648,-63.987,-30.339
PQ591825_pocket4__pimodivir,../05_flexref/flexref_8.pdb,-43.596,313.825,0.056,-19.220,-40.515,-21.294
PQ591825_pocket5__pimodivir,../05_flexref/flexref_4.pdb,-42.222,126.386,-2.622,-27.894,-38.130,-10.465
PQ591825_pocket6__pimodivir,../05_flexref/flexref_5.pdb,-90.115,597.282,-0.307,-63.285,-83.835,-20.551
PQ591825_pocket7__pimodivir,../05_flexref/flexref_5.pdb,-50.913,478.316,2.977,-19.030,-49.107,-30.077
PQ591825_pocket8__pimodivir,../05_flexref/flexref_2.pdb,-64.338,465.126,-14.405,-19.459,-45.282,-25.823
PQ591825_pocket9__pimodivir,../05_flexref/flexref_4.pdb,-70.595,594.213,1.800,-31.533,-66.453,-34.920
OQ958041_pocket1__pimodivir,../05_flexref/flexref_3.pdb,-59.901,580.819,-0.289,-27.874,-53.804,-25.930
OQ958041_pocket2__pimodivir,../05_flexref/flexref_1.pdb,-75.837,518.839,1.171,-47.778,-71.819,-24.041
OQ958041_pocket3__pimodivir,../05_flexref/flexref_3.pdb,-38.323,373.647,-5.562,-6.252,-29.024,-22.772
OQ958041_pocket4__pimodivir,../05_flexref/flexref_1.pdb,-79.472,609.236,-2.641,-38.090,-70.738,-32.649
OQ958041_pocket5__pimodivir,../05_flexref/flexref_6.pdb,-49.230,438.562,-12.196,-11.918,-32.649,-20.730
PQ809562_pocket1__pimodivir,../05_flexref/flexref_10.pdb,-65.236,446.522,7.736,-47.934,-68.507,-20.573
PQ809562_pocket2__pimodivir,../05_flexref/flexref_5.pdb,-50.981,599.706,6.315,-28.755,-51.298,-22.543
PQ809562_pocket3__pimodivir,../05_flexref/flexref_1.pdb,-52.674,569.231,-3.277,-13.798,-43.704,-29.907
PQ809562_pocket4__pimodivir,../05_flexref/flexref_6.pdb,-67.647,305.046,3.255,-64.029,-67.852,-3.822
PQ809562_pocket5__pimodivir,../05_flexref/flexref_8.pdb,-54.704,592.193,4.824,-22.229,-53.606,-31.376
PQ809562_pocket6__pimodivir,../05_flexref/flexref_5.pdb,-52.134,402.003,-5.449,-22.894,-42.665,-19.771
PQ809562_pocket7__pimodivir,../05_flexref/flexref_8.pdb,-73.057,542.875,4.560,-57.901,-72.188,-14.287
PQ809562_pocket8__pimodivir,../05_flexref/flexref_1.pdb,-97.708,533.410,6.896,-87.050,-99.270,-12.221
