Accession,Organism,Strain,Isolation_Source,Host,Country,Collection_Year
PQ591825.1,Influenza A virus,A/California/150/2024,,Homo sapiens,,2024
PQ524072.1,Influenza A virus,A/California/155/2024,,Homo sapiens,,2024
PQ790078.1,Influenza A virus,A/California/213/2024,,Homo sapiens,,2024
PQ773306.1,Influenza A virus,A/California/195/2024,,Homo sapiens,,2024
PQ493726.1,Influenza A virus,A/California/153/2024,,Homo sapiens,,2024
PQ493712.1,Influenza A virus,A/California/152/2024,,Homo sapiens,,2024
PQ686595.1,Influenza A virus,A/California/181/2024,,Homo sapiens,,2024
PQ468764.1,Influenza A virus,A/California/147/2024,,Homo sapiens,,2024
PQ435216.1,Influenza A virus,A/California/135/2024,,Homo sapiens,,2024
PV576479.1,Influenza A virus,A/feline/San Bernardino County/297271-24/2024,urine,feline,,2024
PV091380.1,Influenza A virus,A/Bovine/California/T2402448/2024,placenta,bovine,,2024
PQ773298.1,Influenza A virus,A/California/194/2024,,Homo sapiens,,2024
PQ686611.1,Influenza A virus,A/California/193/2024,,Homo sapiens,,2024
PQ686599.1,Influenza A virus,A/California/191/2024,,Homo sapiens,,2024
PQ373724.2,Influenza A virus,A/cattle/Idaho/Broad_MF_006/2024,retail milk,cattle,,2024
PV026112.1,Influenza A virus,A/feline/New Mexico/F001/2024,Tissue from brain,Felis catus,,2024
PQ524077.1,Influenza A virus,A/California/168/2024,,Homo sapiens,,2024
PQ162277.1,Influenza A virus,A/dairy cow/Texas/A240750066-18/2024,mammary LF,dairy cow,,2024
PP599470.1,Influenza A virus,A/bovine/texas/24-029328-02/2024,milk,bovine,,2024
PQ373684.1,Influenza A virus,A/cattle/Idaho/Broad_ME_015/2024,retail milk,cattle,,2024
PP836396.1,Influenza A virus,A/bovine/Ohio/B24OSU-302/2024,,bovine,,2024
PP692139.1,Influenza A virus,A/feline/Texas/24-029329-01/2024,brain,feline,,2024
PP599462.1,Influenza A virus,A/Bovine/texas/24-029328-01/2024,milk,bovine,,2024
PP914099.1,Influenza A virus,A/cattle/Texas/MP10/2024,milk,cattle,,2024
PQ060141.1,Influenza A virus,A/Colorado/134/2024,,Homo sapiens,,2024
PP836500.1,Influenza A virus,A/bovine/Ohio/B24OSU-486/2024,clinical cow milk,bovine,,2024
PP836492.1,Influenza A virus,A/bovine/Ohio/B24OSU-472/2024,clinical cow milk,bovine,,2024
PP836468.1,Influenza A virus,A/bovine/Ohio/B24OSU-439/2024,clinical cow milk,bovine,,2024
PP836444.1,Influenza A virus,A/bovine/Ohio/B24OSU-388/2024,clinical cow milk,bovine,,2024
PP836404.1,Influenza A virus,A/bovine/Ohio/B24OSU-332/2024,clinical cow milk,bovine,,2024
PP732373.2,Influenza A virus,A/Dairy cattle/Kansas/5/2024,environmental swabs,Dairy cattle,,2024
PV601988.1,Influenza A virus,A/bovine/Kansas/Inoc-TX-24-029328-01/2024,passaged in bovine uterine epithelial cells for 3 passages and subsequently passed on MDCK cells for 1 passage,bovine,,2024
PV601932.1,Influenza A virus,A/swine/Kansas/ExpPig52-BAL3DPI/2024,bronchoalveolar lavage,swine,,2024
PV643545.1,Influenza A virus,A/dairy cow/Ohio/OH24-8700-2/2024,milk,Bos taurus,,2024
PP914083.1,Influenza A virus,A/cattle/Texas/USL_042/2024,nasal swab,cattle,,2024
PQ032841.1,Influenza A virus,A/Colorado/109/2024,,Homo sapiens,,2024
PP600140.1,Influenza A virus,A/cattle/Texas/56283/2024,nasal swab,bovine,,2024
PP836412.1,Influenza A virus,A/bovine/Ohio/B24OSU-342/2024,clinical cow milk,bovine,,2024
PV602004.1,Influenza A virus,A/swine/Kansas/ExpPig61-NS4DPI/2024,nasal swab,swine,,2024
PV601948.1,Influenza A virus,A/swine/Kansas/ExpPig61-BAL5DPI/2024,bronchoalveolar lavage,swine,,2024
PP914075.1,Influenza A virus,A/cattle/Texas/MP09/2024,milk,cattle,,2024
PQ106525.1,Influenza A virus,A/Colorado/138/2024,,Homo sapiens,,2024
PP577947.1,Influenza A virus,A/Texas/37/2024,,Homo sapiens,,2024
PP914092.1,Influenza A virus,A/Grackle/Texas/USL_047/2024,oral swab,Grackle,,2024
PV601924.1,Influenza A virus,A/swine/Kansas/ExpPig50-BAL3DPI/2024,bronchoalveolar lavage,swine,,2024
