Accession,Character,Source
EPI100512,A,Galliformes
EPI2495657,A,Galliformes
EPI2747802,A,Galliformes
EPI3324485,2,Anseriformes
EPI3558219,M,mammal
EPI2855823,4,Aves
EPI2587294,4,Aves
EPI2233058,A,Galliformes
EPI2525188,2,Anseriformes
EPI2352571,2,Anseriformes
EPI2412842,A,Galliformes
EPI3409967,A,Galliformes
EPI2631720,4,Aves
EPI2666799,4,Aves
EPI2917462,4,Aves
EPI2861332,A,Galliformes
EPI2904516,4,Aves
EPI2712081,2,Anseriformes
EPI2584888,4,Aves
EPI2870162,4,Aves
EPI3555308,5,Charadriiformes
EPI321325,A,Galliformes
EPI3143476,4,Aves
EPI2062301,A,Galliformes
EPI2586341,5,Charadriiformes
EPI2415807,A,Galliformes
EPI3484867,4,Aves
EPI2562696,2,Anseriformes
EPI2429175,4,Aves
EPI2597152,A,Galliformes
EPI2311335,5,Charadriiformes
EPI2755675,M,mammal
EPI2428248,4,Aves
EPI2870154,4,Aves
EPI3298428,4,Aves
EPI2782600,4,Aves
EPI2643205,4,Aves
EPI2131952,A,Galliformes
EPI2506084,4,Aves
EPI2198644,A,Galliformes
EPI2506924,4,Aves
EPI2614158,4,Aves
EPI3306838,4,Aves
EPI3651362,4,Aves
EPI2306837,A,Galliformes
EPI2794499,2,Anseriformes
EPI2178790,4,Aves
EPI2008565,4,Aves
EPI3409053,6,Artiodactyla
EPI2743003,4,Aves
EPI1862722,2,Anseriformes
EPI3506833,6,Artiodactyla
EPI2147695,2,Anseriformes
EPI3316559,4,Aves
EPI3649070,6,Artiodactyla
EPI1945243,2,Anseriformes
EPI2314289,A,Galliformes
EPI2429285,4,Aves
EPI1966253,2,Anseriformes
EPI3182895,2,Anseriformes
EPI2505272,4,Aves
EPI2641495,4,Aves
EPI2071216,2,Anseriformes
EPI2506252,A,Galliformes
EPI2930710,2,Anseriformes
EPI2779977,4,Aves
EPI2622891,4,Aves
EPI2547307,4,Aves
EPI2708741,0,Accipitriformes
EPI3303634,4,Aves
EPI2574005,4,Aves
EPI2071696,A,Galliformes
EPI3631280,6,Artiodactyla
EPI1951333,4,Aves
EPI3412041,6,Artiodactyla
EPI2198132,A,Galliformes
EPI2475141,4,Aves
EPI338792,A,Galliformes
EPI2868174,A,Galliformes
EPI3626042,4,Aves
EPI2132607,4,Aves
EPI2150683,4,Aves
EPI3308288,4,Aves
EPI2140782,A,Galliformes
EPI2779146,4,Aves
EPI228375,4,Aves
EPI2856671,4,Aves
EPI2456393,?,Galliformes
EPI2742483,4,Aves
EPI2137774,2,Anseriformes
EPI2219984,A,Galliformes
EPI2670377,4,Aves
EPI3605465,4,Aves
EPI2398421,2,Anseriformes
EPI3493940,4,Aves
EPI3605007,4,Aves
EPI2198070,4,Aves
EPI3410135,6,Artiodactyla
EPI2506346,A,Galliformes
EPI3304176,4,Aves
EPI2263570,4,Aves
EPI3304336,4,Aves
