Accession,Organism,Strain,Isolation_Source,Host,Country,Collection_Year
OM403994.1,Influenza A virus,A/reassortant/IDCDC-RG71A(Astrakhan/3212/2020 X Puerto Rico/8/1934),,,,2020
MZ166270.1,Influenza A virus,A/Mule_duck/France/20338/2020,Tracheal_swab,Mule_duck,,2020
MW505353.1,Influenza A virus,A/Chlidonias hybrida/Hubei/55/2020,oropharyngeal swab,Chlidonias hybrida,,2020
OQ711840.1,Influenza A virus,A/Migratory_bird/India/01FE975/2021,Fecal droppings,Migratory_bird,,2021
OR048712.1,Influenza A virus,A/mallard duck/Japan/KU-d89/2021,Conjunctival and cloacal swabs,mallard duck,,2021
LC626167.1,Influenza A virus,A/domestic duck/Chiba/T37-1-2/2021,,Anas platyrhynchos var.domesticus,,2021
LC633373.1,Influenza A virus,A/chicken/Chiba/T46-11/2021,,Gallus gallus domesticus,,2021
LC656670.1,Influenza A virus,A/mallard/Miyazaki/4501C607-c8/2021,,Anas platyrhynchos,,2021
LC656662.1,Influenza A virus,A/mallard/Miyazaki/4501C607-c7/2021,,Anas platyrhynchos,,2021
LC656654.1,Influenza A virus,A/mallard/Miyazaki/4501C607-c6/2021,,Anas platyrhynchos,,2021
LC656646.1,Influenza A virus,A/mallard/Miyazaki/4501C607-c5/2021,,Anas platyrhynchos,,2021
LC656638.1,Influenza A virus,A/mallard/Miyazaki/4501C607-c3/2021,,Anas platyrhynchos,,2021
LC656630.1,Influenza A virus,A/mallard/Miyazaki/4501C607-c1/2021,,Anas platyrhynchos,,2021
ON171657.1,Influenza A virus,A/Wild bird/China/Cixi02/2020,Wild bird,Wild bird,,2020
OM868040.1,Influenza A virus,A/goose/Hebei/HG12/2021,swab,goose,,2021
MZ166243.1,Influenza A virus,A/Mule_duck/France/20347/2020,Tracheal_swab,Mule_duck,,2020
MW505369.1,Influenza A virus,A/Cygnus columbianus/Hubei/49/2020,oropharyngeal swab,Cygnus columbianus,,2020
MW505361.1,Influenza A virus,A/Cygnus columbianus/Hubei/116/2020,oropharyngeal swab,Cygnus columbianus,,2020
LC626191.1,Influenza A virus,A/environment/Tokushima/T47-36/2021,environmental swab,,,2021
LC627364.1,Influenza A virus,A/mallard/Miyazaki/4501C605/2021,,Anas platyrhynchos,,2021
LC633381.1,Influenza A virus,A/chicken/Chiba/T48-17/2021,,Gallus gallus domesticus,,2021
